"Species","specialization_NHD","specialization_FAG","Class","Order","Family","Habitats_IUCN","specialization"
"Larus fuscus","human_dominated","agriculture","Aves","Charadriiformes","Laridae","Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Oceanic - Mesopelagic (200-1000m) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Oceanic - Mesopelagic (200-1000m) [Suitable]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Pelagic [Suitable]; Grassland - Temperate [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]","human_dominated"
"Larus genei","human_dominated","generalist","Aves","Charadriiformes","Laridae","Artificial/Aquatic - Salt Exploitation Sites [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Grassland - Temperate [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Intertidal - Tidepools [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]","human_dominated"
"Larus marinus","human_dominated","agriculture","Aves","Charadriiformes","Laridae","Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Intertidal - Tidepools [Suitable]; Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]","human_dominated"
"Larus melanocephalus","human_dominated","agriculture","Aves","Charadriiformes","Laridae","Grassland - Temperate [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Larus michahellis","human_dominated","agriculture","Aves","Charadriiformes","Laridae","Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Neritic - Estuaries [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Aquaculture Ponds [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Aquatic - Irrigated Land (includes irrigation channels) [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Aquatic - Ponds (below 8ha) [Suitable]; Artificial/Aquatic - Salt Exploitation Sites [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]","human_dominated"
"Larus ridibundus","human_dominated","agriculture","Aves","Charadriiformes","Laridae","Marine Intertidal - Tidepools [Suitable]; Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]","human_dominated"
"Leiopicus medius","natural","forest","Aves","Piciformes","Picidae","Forest - Temperate [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]","natural"
"Lemmus lemmus","natural","generalist","Mammalia","Rodentia","Cricetidae","Grassland - Subarctic [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Grassland - Tundra [Suitable]; Shrubland - Boreal [Suitable]; Shrubland - Subarctic [Suitable]","natural"
"Lepus capensis","human_dominated","agriculture","Mammalia","Lagomorpha","Leporidae","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]","human_dominated"
"Lepus castroviejoi","human_dominated","generalist","Mammalia","Lagomorpha","Leporidae","Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Temperate [Suitable]; Forest - Temperate [Marginal]; Grassland - Temperate [Suitable]","human_dominated"
"Lepus corsicanus","human_dominated","generalist","Mammalia","Lagomorpha","Leporidae","Introduced vegetation [Unknown]; Shrubland - Temperate [Suitable]; Marine Coastal/Supratidal - Coastal Sand Dunes [Unknown]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Marginal]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Marginal]","human_dominated"
"Lepus europaeus","human_dominated","generalist","Mammalia","Lagomorpha","Leporidae","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Marginal]; Forest - Boreal [Marginal]; Grassland - Temperate [Suitable]; Forest - Temperate [Marginal]","human_dominated"
"Lepus granatensis","human_dominated","generalist","Mammalia","Lagomorpha","Leporidae","Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Temperate [Suitable]; Grassland - Temperate [Suitable]","human_dominated"
"Lepus timidus","natural","generalist","Mammalia","Lagomorpha","Leporidae","Grassland - Temperate [Suitable]; Shrubland - Boreal [Suitable]; Grassland - Tundra [Suitable]; Shrubland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Grassland - Subarctic [Suitable]","natural"
"Limosa lapponica","natural","generalist","Aves","Charadriiformes","Scolopacidae","Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]","natural"
"Limosa limosa","human_dominated","agriculture","Aves","Charadriiformes","Scolopacidae","Artificial/Aquatic - Aquaculture Ponds [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Marine Neritic - Estuaries [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]","human_dominated"
"Linaria cannabina","human_dominated","agriculture","Aves","Passeriformes","Fringillidae","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]","human_dominated"
"Linaria flavirostris","natural","generalist","Aves","Passeriformes","Fringillidae","Grassland - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Shrubland - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Grassland - Temperate [Suitable]","natural"
"Locustella fluviatilis","natural","forest","Aves","Passeriformes","Locustellidae","Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Shrubland - Subtropical/Tropical Moist [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Savanna - Dry [Suitable]; Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]","natural"
"Locustella lanceolata","natural","forest","Aves","Passeriformes","Locustellidae","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]","natural"
"Locustella luscinioides","human_dominated","generalist","Aves","Passeriformes","Locustellidae","Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Shrubland - Subtropical/Tropical Moist [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Savanna - Dry [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Subtropical/Tropical Moist Lowland [Suitable]","human_dominated"
"Locustella naevia","human_dominated","agriculture","Aves","Passeriformes","Locustellidae","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Shrubland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","human_dominated"
"Lophophanes cristatus","human_dominated","forest","Aves","Passeriformes","Paridae","Shrubland - Temperate [Suitable]; Forest - Temperate [Suitable]; Forest - Boreal [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]","human_dominated"
"Loxia curvirostra","human_dominated","forest","Aves","Passeriformes","Fringillidae","Forest - Temperate [Suitable]; Forest - Boreal [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]","human_dominated"
"Loxia leucoptera","natural","forest","Aves","Passeriformes","Fringillidae","Forest - Temperate [Suitable]; Forest - Boreal [Suitable]","natural"
"Loxia pytyopsittacus","natural","forest","Aves","Passeriformes","Fringillidae","Forest - Temperate [Suitable]; Forest - Boreal [Suitable]","natural"
"Loxia scotica","human_dominated","forest","Aves","Passeriformes","Fringillidae","Forest - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Lullula arborea","human_dominated","generalist","Aves","Passeriformes","Alaudidae","Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Boreal [Suitable]; Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Luscinia luscinia","human_dominated","generalist","Aves","Passeriformes","Muscicapidae","Forest - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Luscinia megarhynchos","human_dominated","generalist","Aves","Passeriformes","Muscicapidae","Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Temperate [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Temperate [Suitable]; Forest - Subtropical/Tropical Moist Lowland [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]","human_dominated"
"Luscinia svecica","human_dominated","generalist","Aves","Passeriformes","Muscicapidae","Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Boreal [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Aquatic - Aquaculture Ponds [Suitable]; Grassland - Tundra [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Temperate [Suitable]; Artificial/Aquatic - Irrigated Land (includes irrigation channels) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Suitable]; Wetlands (inland) - Freshwater Springs and Oases [Suitable]; Grassland - Temperate [Suitable]; Forest - Boreal [Suitable]; Shrubland - Temperate [Suitable]","human_dominated"
"Lutra lutra","natural","generalist","Mammalia","Carnivora","Mustelidae","Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Shrub Dominated Wetlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats [Suitable]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Marine Intertidal - Tidepools [Suitable]; Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt) [Suitable]; Marine Neritic - Pelagic [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Freshwater Springs and Oases [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]","natural"
"Lymnocryptes minimus","human_dominated","generalist","Aves","Charadriiformes","Scolopacidae","Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Forest - Temperate [Suitable]; Forest - Boreal [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]","human_dominated"
"Lynx lynx","natural","forest","Mammalia","Carnivora","Felidae","Shrubland - Temperate [Suitable]; Forest - Boreal [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Boreal [Suitable]; Forest - Temperate [Suitable]","natural"
"Lynx pardinus","natural","forest","Mammalia","Carnivora","Felidae","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Other [Suitable]; Forest - Temperate [Suitable]","natural"
"Lyrurus tetrix","human_dominated","generalist","Aves","Galliformes","Phasianidae","Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Marginal]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Shrubland - Temperate [Suitable]; Forest - Temperate [Suitable]; Forest - Boreal [Suitable]","human_dominated"
"Mareca penelope","natural","generalist","Aves","Anseriformes","Anatidae","Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]","natural"
"Mareca strepera","natural","generalist","Aves","Anseriformes","Anatidae","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","natural"
