"Binomial.Name","specialization_FAG","Class","Order","Family","Habitats_IUCN","specialization"
"Hydrobates pelagicus","generalist","Aves","Procellariiformes","Hydrobatidae","Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]","generalist"
"Hydrocoloeus minutus","generalist","Aves","Charadriiformes","Laridae","Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Marginal]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]","generalist"
"Hydroprogne caspia","generalist","Aves","Charadriiformes","Laridae","Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Marine Neritic - Pelagic [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Pelagic [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Estuaries [Suitable]","generalist"
"Hypsugo savii","generalist","Mammalia","Chiroptera","Vespertilionidae","Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]","generalist"
"Hystrix cristata","generalist","Mammalia","Rodentia","Hystricidae","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Savanna - Dry [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]","generalist"
"Iduna caligata","agriculture","Aves","Passeriformes","Acrocephalidae","Grassland - Subtropical/Tropical Dry [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Temperate [Suitable]","agriculture"
"Iduna opaca","generalist","Aves","Passeriformes","Acrocephalidae","Artificial/Terrestrial - Arable Land [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","generalist"
"Iduna pallida","generalist","Aves","Passeriformes","Acrocephalidae","Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Savanna - Dry [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","generalist"
"Ixobrychus minutus","generalist","Aves","Pelecaniformes","Ardeidae","Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Shrub Dominated Wetlands [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level [Suitable]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]","generalist"
"Jynx torquilla","generalist","Aves","Piciformes","Picidae","Grassland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Forest - Boreal [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","generalist"
"Lagopus lagopus","forest","Aves","Galliformes","Phasianidae","Shrubland - Boreal [Suitable]; Grassland - Subarctic [Suitable]; Grassland - Temperate [Suitable]; Grassland - Tundra [Suitable]; Forest - Boreal [Suitable]","forest"
"Lagopus muta","generalist","Aves","Galliformes","Phasianidae","Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Grassland - Tundra [Suitable]","generalist"
"Lagurus lagurus","agriculture","Mammalia","Rodentia","Cricetidae","Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]","agriculture"
"Lanius collurio","generalist","Aves","Passeriformes","Laniidae","Forest - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Savanna - Dry [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Grassland - Subtropical/Tropical High Altitude [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","generalist"
"Lanius excubitor","forest","Aves","Passeriformes","Laniidae","Forest - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Temperate [Suitable]; Forest - Temperate [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Boreal [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Desert - Hot [Suitable]; Savanna - Dry [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Freshwater Springs and Oases [Suitable]; Forest - Boreal [Suitable]; Savanna - Dry [Suitable]; Wetlands (inland) - Freshwater Springs and Oases [Suitable]; Grassland - Temperate [Suitable]; Desert - Hot [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","forest"
"Lanius meridionalis","generalist","Aves","Passeriformes","Laniidae","Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","generalist"
"Lanius minor","agriculture","Aves","Passeriformes","Laniidae","Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","agriculture"
"Lanius nubicus","generalist","Aves","Passeriformes","Laniidae","Forest - Subtropical/Tropical Dry [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest [Suitable]; Savanna - Dry [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","generalist"
"Lanius senator","generalist","Aves","Passeriformes","Laniidae","Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Subtropical/Tropical Moist Lowland [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Subtropical/Tropical Moist Lowland [Suitable]; Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest [Suitable]; Grassland - Subtropical/Tropical High Altitude [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Grassland - Subtropical/Tropical High Altitude [Suitable]","generalist"
"Larus argentatus","agriculture","Aves","Charadriiformes","Laridae","Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Marginal]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Marine Oceanic - Mesopelagic (200-1000m) [Marginal]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Intertidal - Tidepools [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]","agriculture"
"Larus audouinii","generalist","Aves","Charadriiformes","Laridae","Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Pelagic [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Intertidal - Tidepools [Suitable]","generalist"
"Larus cachinnans","agriculture","Aves","Charadriiformes","Laridae","Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Artificial/Aquatic - Salt Exploitation Sites [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Pelagic [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","agriculture"
"Larus canus","agriculture","Aves","Charadriiformes","Laridae","Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Marine Intertidal - Tidepools [Suitable]; Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Marine Neritic - Pelagic [Marginal]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Grassland - Temperate [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Intertidal - Tidepools [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]","agriculture"
"Larus delawarensis","generalist","Aves","Charadriiformes","Laridae","Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Grassland - Temperate [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]","generalist"
"Larus fuscus","agriculture","Aves","Charadriiformes","Laridae","Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Oceanic - Mesopelagic (200-1000m) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Artificial/Aquatic - Excavations (open) [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Oceanic - Mesopelagic (200-1000m) [Suitable]; Artificial/Aquatic - Canals and Drainage Channels, Ditches [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Pelagic [Suitable]; Grassland - Temperate [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]","agriculture"
"Larus genei","generalist","Aves","Charadriiformes","Laridae","Artificial/Aquatic - Salt Exploitation Sites [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Grassland - Temperate [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Intertidal - Tidepools [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools [Suitable]; Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]","generalist"
"Larus marinus","agriculture","Aves","Charadriiformes","Laridae","Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Intertidal - Tidepools [Suitable]; Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]","agriculture"
